pattern,meaning,title,explanation,category,example_sentence,example_translation
～として（は）／～としても／～としての,"＜立場、資格、種類をはっきり言う。＞  Nói về lập trường, tư cách, chủng loại",N2 Grammar,[名]＋として,jlpt_grammar,彼は国費留学生として日本へ来た。, Anh ấy đã đến Nhật với tư cách là lưu học sinh ngân sách nhà nước
～について（は）／～につき／～についても／～についての,"話したり考えたりする内容を表す。  Về, liên quan đến… Biểu thị nội dung suy nghĩ, lời nói.",N2 Grammar,[名]＋について,jlpt_grammar,日本の経済について研究しています。,  Tôi đang nghiên cứu về kinh tế Nhật Bản.
～てならない,非常に～  （ある気持ちが自然に強くなってくる状態を表す。）  ~ một cách phi thường (Chỉ cảm xúc mạnh lên một cách tự nhiên),N2 Grammar,［動－て形］        ［い形－くて］        ［な形－て］      ＋ならない,jlpt_grammar,交通事故で両親を亡くした子供がかわいそうに思えてならない。  ,Không thể kìm lòng trước những đứa trẻ mất bố mẹ do tai nạn giao thông.
～にきまっている,"必ず～だ・当然～だと思う  Nghĩ ~ là nhất định, đương nhiên",N2 Grammar,［動・い形・な形・名］の普通形＋にきまっている  （ただし［名］と［な形］は［だ］がつかない。）,jlpt_grammar,ぜんぜん練習していないんだから、今度の試合は負(ま)けるにきまっている。,"  Vì chả luyện tập tí nào, trận đấu năm nay nhất định là thua."
～にすぎない,"ただ～だけだ・それ以上のものではない  Chỉ, không nhiều hơn ~",N2 Grammar,［動－普通形］        ［な形－である］                                                ［名 | 名－である］    ＋にすぎない,jlpt_grammar,私は警官としてしなければならないことをしたにすぎません。,  Tôi đã chỉ làm những việc cần làm với tư cách cảnh sát.
～に相違ない,"確かに～だろう・間違いなく～だと思う  Chắc đúng là ~, Nghĩ ~ là không sai được",N2 Grammar,［動・い形・な形・名］の普通形＋に相違ない （ただし［な形］と［名］の［だ］はつかない。）,jlpt_grammar,そんな非常識(ひじょうしき)な要求は認(みと)められないに相違ない。  ,Yêu cầu thiếu tri thiếu biết thế này đúng là không thể chấp nhận được.
～に違いない,確かに～と思う  Nghĩ chính xác là ~,N2 Grammar,［動・い形・な形・名］の普通形＋に違いない  （ただし［な形］と［名］の［だ］はつかない。）,jlpt_grammar,かぎがない。どこかに落(お)としたに違いない。,  Không có chìa khoá. Đúng là rơi đâu rồi.
～べき／～べきだ／～べきではない,"そうするのが人間として当然だ・～したほうがいい  Làm như thế là đương nhiên, nên làm ~",N2 Grammar,［動－辞書形］＋べき  （［するべき］は［すべき］も使われる。）,jlpt_grammar,書く前に,
～（より）ほか（は）ない／～ほかしかたがない,～する以外に方法がない  Chả có cách nào khác là ~,N2 Grammar,［動－辞書形］＋ほかない,jlpt_grammar,だれにも頼めないから、自分でやるほかはない。,"  Không nhờ ai được, không có cách nào ngoài tự làm cả."
～向きだ／～向きに／～向きの,"～にちょうどいい・～に適している  Vừa đẹp với ~, thích hợp với~",N2 Grammar,［名］＋向きだ,jlpt_grammar,このスキー場は初心者向きです。  ,Khu trượt tuyết này thích hợp với người mới tập.
～向けだ／～向けに／～向けの,～に適するように特に作った  Để thích hợp với ~ mà đã đặc biệt tạo ra.,N2 Grammar,［名］＋向けだ,jlpt_grammar,ここにある軽量のクリスマスカードは、みんな海外向けだ。  ,Lượng nhỏ thiếp giáng sinh ở đây là hướng tới mọi người ở hải ngoại.
～もの（です）か,決して～ない  （強い否定の意味 を表す。）  Quyết không ~ (Ý phủ định mạnh),N2 Grammar,名詞修飾型＋ものか  （ただし［名－の］は［名－な］になる。）,jlpt_grammar,あの人が人の忠告(ちゅうこく)なんか聞くものですか。  ,Người kia quyết không nghe lời khuyên của người khác.
～にとって（は）／～にとっても／～にとっての,"～の立場からみると  （後ろには判断や評価がくる。） Đối với… Nhìn từ lập trường của ~ (sau đó là phán đoán, bình phẩm)",N2 Grammar,[名]＋にとって,jlpt_grammar,この写真は私にとって、何よりも大切なものです。  ,Bức ảnh này đối với tôi là thứ quan trọng hơn tất cả (hơn bất cứ thứ gì).
～ものだ／～ものではない,"（感嘆・嘆息(たんそく)・心に深く感ずることを表す。）  Thể hiện cảm xúc mạnh, cảm thán, thở dài",N2 Grammar,［動・い形・な形］の名詞修飾型＋ものだ,jlpt_grammar,あんな大事故にあって、よく助かったものだ。,  Gặp tai nạn lớn thế mà được cứu sống hết.
～わけだ 接続   ［動・い形・な形］の名詞修飾型＋わけだ,（理由があるから、そうなるのは当然だと言いたい時に使う。 ）  Vì có lý do nên muốn nói như thế là đương nhiên.,N2 Grammar,,jlpt_grammar,暗いわけだ。蛍光灯(けいこうとう)が１本切れている。 , Tối là phải. Một bóng đèn huỳnh quang bị cháy.
～わけではない／～わけでもない,"特に～ではない・必ずしも～ではない  Không nhất thiết là ~, không phải là ~",N2 Grammar,［動・い形・な形］の名詞修飾型＋わけではない,jlpt_grammar,生活に困っているわけではないが、貯金する余裕(よゆう)はない。  ,Cuộc sống không phải là khó khăn nhưng cũng không có dư ra để dành.
～っけ,"（思い出そうとした、思い出したことを確認する時に使う。）  Đang nhớ ra, nhớ lại và muốn xác nhận lại",N2 Grammar,［動・い形・な形・名］の普通形＋っけ  （ただし［～でしたっけ］［～ましたっけ］も使う。）,jlpt_grammar,彼にはまだパーティーの場所を知らせていなかったっけ。,  Hình như tôi chưa báo cho anh ấy địa điểm liên hoan hay sao ấy.
～とか,～そうだ・～ということだ  （間接的情報を表す。）  Nghe nói là ~ (chỉ thông tin mang tính gián tiếp),N2 Grammar,［動・い形・な形・名］の普通形＋とか,jlpt_grammar,新聞によると、国内線の飛行機運賃が上がるとか。  ,Thấy báo nói giá cước vận chuyển hàng không tuyến nội địa tăng giá thì phải.
～どころではない／～どころではなく,"事情があって、～できない  Có lý do, chịu không thể ~ (strongly emphatic) too preoccupied or busy to even think of ~; ~ is out of the question",N2 Grammar,［動－辞書形］     ［名］      ＋どころではない,jlpt_grammar,人の仕事を手伝うどころではありません。自分の仕事も間に合わないんです。   ,Việc của người khác thì chịu không giúp được rồi. Việc của mình còn đang lỡ dở đây.
～からして 接続   ［名］＋からして,"（一つの例をあげて、ほかももちろんだがという気持ちを表す。）  Đưa ra một ví dụ, nghĩ là những cái khác là đương nhiên. Ngay cả ~",N2 Grammar,,jlpt_grammar,彼は礼儀を知らない。あいさつからして、きちんとしていない。  ,Anh ta chả biết lễ nghi gì cả. Đến chào hỏi còn chả thèm.
～からすると／～からすれば 接続   ［名］＋からすると,～の立場から見ると  Nhìn từ lập trường của ~,N2 Grammar,,jlpt_grammar,親からすると、子供はいくつになっても子供で、心配なものだ。  ,Với bố mẹ thì con cái có lớn thế nào thì vẫn lo lắng cho chúng.
～からには／～からは,"～のだから当然  As long as; Chừng nào ~ ; vì là ~, đương nhiên",N2 Grammar,［動・い形・な形・名］の普通形＋からには  （ただし［な形］と［名］は［である］を使う。）,jlpt_grammar,試合に出るからには、勝ちたい。  ,"Đã tham gia vào cuộc chơi, tất nhiên là muốn thắng."
